imp_id,user_id,time,history,impressions
1544098,U380940,11/13/2019 12:08:07 PM,N55571 N155 N37069 N9594 N65119 N73122 N46069 N127916 N73122 N107151 N73478 N99298 N4104 N121331 N26044 N59130 N44203 N107705 N27352 N28597 N128648 N112624 N68440 N57945 N102941 N92573 N57193 N26543 N107441 N44524 N14035 N6958 N83579 N73408 N93049 N23655 N46123 N62480 N80027 N123451 N37154 N112333 N89042 N69691 N108352 N110158 N104737 N121592 N126448 N119674 N33127 N2954 N38202 N71802 N66700 N61869 N94407 N10811 N44260 N116174 N79026 N31079 N14979 N70848 N79547 N52547 N90456 N78086 N76350 N103150 N83904 N69591 N34374 N112687 N96726 N125304 N109990 N63476 N81364 N123362 N43955,N23294-0 N84689-0 N76936-0 N68164-0 N109852-0 N72229-0 N55935-0 N35652-0 N110970-0 N18553-0 N124677-0 N19455-0 N71607-0 N1923-0 N96356-0 N115445-0 N97711-0 N19525-0 N129240-0 N116118-0 N80994-0 N31760-0 N100417-0 N57497-0 N50858-0 N108178-0 N51632-0 N39403-0 N22215-0 N28518-0 N2256-0 N108445-0 N96729-0 N129678-0 N42741-0 N48912-0 N2004-0 N51569-0 N87775-0 N24001-0 N55725-0 N107394-0 N71593-0 N102668-0 N122287-0 N69915-0 N76271-0 N94594-0 N68410-0 N4504-0 N127836-0 N13980-0 N106659-0 N57998-0 N80082-0 N34449-1 N16782-0 N20889-0 N73618-0 N12483-0 N72037-0 N54223-0 N82097-0 N116745-0 N45913-0 N95525-0 N23031-0 N124329-0 N60988-0 N15416-0 N17575-0 N113044-0 N48263-0 N10627-0 N83010-0 N52813-0 N41315-0 N61414-0 N10285-0 N110667-0 N39887-0 N27152-0 N127742-0 N80621-0 N47711-1 N77011-0 N22871-0 N90539-0 N80921-0 N109911-0 N27967-0 N97722-0 N101233-0 N112335-0 N22811-0 N72485-0 N38883-0 N48784-0 N34629-0 N60695-0 N100261-0 N88472-0 N24701-0 N23077-0 N112156-0 N129969-0 N47231-0 N99325-0 N94751-0 N8491-0 N37479-0 N114252-0 N40134-0 N87418-0 N123784-0 N24328-0 N128583-0 N46415-0 N76677-0 N53474-0 N129958-0 N114935-0
417936,U477349,11/14/2019 2:10:24 PM,N82779 N74042 N58732 N55714 N62401 N122814 N35800 N126742,N83707-0 N120147-0 N81051-0 N113680-0 N29441-0 N14614-0 N55816-0 N84430-0 N42649-0 N105407-0 N80814-0 N9667-0 N100456-0 N117695-0 N85089-0 N74875-0 N6643-0 N45410-0 N65446-0 N107399-0 N67937-0 N25751-0 N112378-0 N56873-0 N76610-0 N100738-1 N51163-0
249436,U68920,11/10/2019 7:41:25 AM,N112324 N46954 N46137 N58843 N53933,N71090-0 N58258-0 N54460-0 N2591-0 N29852-0 N78699-1 N13322-0 N90448-0 N93934-0 N97946-0 N53399-0 N46652-0 N26368-0 N15289-0
2210552,U513290,11/10/2019 11:13:21 AM,N9740 N65259 N98596 N77559 N85428 N26976 N108284 N81899 N81899 N120951 N38627 N51724 N105761 N48281 N84959 N60001 N15922 N67169 N44660 N67169 N119778 N15375 N82919 N100420 N122264 N121592 N123111 N41683 N89906 N83623 N5875 N104498 N46892 N99797 N68097 N46892 N70022 N39509 N1713 N4789,N58592-0 N40282-0 N94157-0 N18478-0 N71090-0 N37924-0 N19858-0 N12917-0 N7578-1 N27822-0 N34971-0 N26368-0 N39404-0 N78206-0 N31174-0
1884178,U460578,11/14/2019 12:17:10 PM,N76306 N6455 N107969 N104235 N66700 N53410 N114376 N31079 N70022 N127629 N101766 N18904 N85063 N116890 N1913 N32810 N1960 N82891 N128705 N57397 N38567 N34374 N14316 N47589 N67369 N31323 N43766 N51166,N29544-0 N110627-0 N29441-0 N42649-0 N19718-0 N100456-0 N56873-0 N45626-0 N12730-0 N8599-0 N25751-0 N102458-0 N51163-0 N74875-1 N43355-0 N120147-0 N105407-0 N67937-0 N84430-0 N880-1 N19455-0 N76665-0 N33011-1 N90184-0 N125720-0 N111094-0
572189,U547183,11/13/2019 1:34:05 PM,N80608 N127287 N58732 N37494 N92437 N73692 N100962 N121394 N37303 N108752 N99171 N100091 N105840 N107441 N88893 N123427 N50918 N71977 N58531 N24338 N30819 N91597 N94196 N41926 N73228 N21128 N20701 N33198 N95088 N101226 N100161 N29433 N76810 N129522,N24486-0 N52369-0 N75672-0 N19805-0 N77818-0 N59272-0 N40134-0 N127572-0 N43982-0 N13980-0 N22871-0 N96029-0 N55725-0 N127742-0 N122287-0 N81071-0 N13796-0 N5287-0 N101900-0 N5825-0 N80719-0 N111263-0 N23077-0 N19695-0 N52813-0 N13761-0 N80921-0 N112335-0 N115445-0 N64655-0 N18707-0 N128583-0 N51632-0 N75618-0 N23294-0 N112156-0 N108445-0 N65334-0 N96356-0 N24701-0 N95525-0 N16244-0 N107394-0 N16554-0 N116118-0 N92498-0 N127134-0 N114935-1 N108178-0 N102668-0 N73288-0 N76271-0 N48263-0 N88472-0 N27967-0 N47711-0 N124677-0 N102136-0 N34629-0 N87775-0 N24261-0 N47925-0 N2004-0 N57497-0 N51142-0 N37831-0 N106307-0 N106838-0 N10627-0 N27152-0 N92009-0 N45913-0 N113044-0 N110667-0 N87418-0 N80082-0 N19525-0 N121106-0 N22215-0 N84689-0 N80561-0 N100941-0 N61414-0 N80994-0 N96729-0 N102976-0 N17804-0 N129240-0 N124329-0 N57218-0 N8491-0 N3093-0 N50546-0 N80621-0 N100206-0 N82097-0 N24668-0 N72037-0 N20889-0 N55935-0 N46415-0 N16782-0 N123683-0 N53474-0 N112641-0 N31760-0 N109852-0 N19460-0 N94594-0 N33268-0 N12483-0 N129958-0 N76677-0 N2256-0 N101552-0 N100539-0 N66957-0 N94751-0 N15416-0 N26667-0 N41315-0 N24001-0 N39887-0 N109911-0 N18553-0 N47231-0 N45861-0 N15655-0 N108269-0 N60988-0 N101233-1 N68164-0 N26887-0 N123968-0 N9432-0 N99325-0 N48912-0 N106659-0 N23031-0 N5520-0 N22895-0 N37479-0 N1923-0 N95468-0 N17841-0 N54223-1 N53176-0 N68410-0 N72229-0 N77011-0 N84235-0
410976,U324781,11/14/2019 2:48:29 PM,N65119 N80545 N112324 N14447 N29153 N109210 N93328 N32925 N23045 N32221 N19519 N36849 N122025 N89398 N79285 N29466 N107766 N71935 N118005 N2664 N74324 N47788 N88348 N120545 N128483 N22773 N48111 N5326 N22651 N80435 N119505 N1960 N2539 N14509 N37530 N122343 N76810,N118623-1 N74875-0 N45410-0 N100456-0 N102846-1 N78508-0 N45782-0 N67937-0 N51163-1 N83707-0 N107399-0 N40625-0 N29441-0 N104990-0 N76610-0 N9667-0 N105407-0 N94999-0 N85089-0
807848,U276433,11/13/2019 11:53:46 AM,N80126 N34957 N27561 N102399 N129083 N101597 N57491 N24726 N99733 N3051 N81970 N100832 N86208 N59351 N44740 N79909 N39160 N59292 N8037 N17725 N22424 N128705 N83062 N66107 N9417 N4858 N9835 N129740 N120612,N95525-1 N84689-0 N42625-0 N24701-0 N93856-0 N108445-0 N98564-0 N117242-0 N34379-0 N48188-0 N42741-0 N13761-1 N110709-0 N103852-0 N72609-0 N48784-0 N97301-0 N19581-0 N10285-0 N85123-0 N5785-0 N127836-0 N92009-0 N14374-0 N87227-0 N47711-0 N41858-0 N88472-0 N82233-0 N53474-0 N76677-1 N94594-0 N4504-0
1816056,U604165,11/11/2019 7:32:18 PM,N124555 N63837 N7574 N45124 N93101 N45124 N58729 N92794 N3681 N45124 N118101 N77319 N106577,N111878-0 N124899-0 N56644-0 N74108-0 N71394-0 N37930-0 N12836-0 N3718-0 N11362-0 N90279-0 N37106-0 N8857-0 N30899-0 N69883-0 N105478-0 N17575-0 N2319-0 N55544-1 N48418-0 N27251-0 N47505-0 N36266-0 N83421-0 N30504-0 N100343-0 N99578-0 N49466-0 N46945-0 N80876-0 N69567-0 N57319-0 N124245-0 N34981-0 N13361-1 N87913-0 N89078-0 N51219-0 N112819-0 N75411-0 N42187-0 N91270-0 N6521-0 N18891-0 N20789-0 N51757-0 N19455-0 N45124-0 N64730-0 N27635-0 N101546-0 N4872-0 N68483-0 N92438-0 N30342-0 N11168-0 N118883-0 N111088-0 N39259-0 N82330-0 N49814-0 N93643-0 N10501-0 N25768-0 N36306-0 N4612-0 N13761-0 N81852-0 N3075-0 N69900-0 N13750-0 N68763-0 N3852-0 N27097-0 N58417-0 N104212-0 N6982-0 N92165-0 N62730-0 N22796-0 N44006-0 N38457-0 N99507-0 N30119-0 N55013-0
1607461,U150504,11/12/2019 12:39:33 PM,N72133 N123455,N7937-0 N20990-0 N100539-0 N38902-0 N115731-0 N76434-0 N33078-0 N100073-1 N18947-0 N110303-0 N30417-0 N62203-0
